#CODE;ENGLISH;;;;;;;;;;x


#Laws

#Groups
Quan_laws_1;Local Administration;;;;;;;;;;x
Quan_laws_1_desc;;;;;;;;;;;x
Quan_laws_2;Status of Council of Clans;;;;;;;;;;x
Quan_laws_2_desc;The Council of Clans consists of the rulers of all clans, originally serving as an advisory council. It recently gained the power to veto changes by the ruler of Quan, along with the power to implement new laws independent of their liege's influence.;;;;;;;;;;x
Quan_laws_3;Army Law;;;;;;;;;;x
Quan_laws_3_desc;Traditionally, each clan of the Golden Steppe gives a portion of their warriors to the ruler of Quan, but the influx of Jian colonists inspired the princes of Quan to use these warriors as either a primary force or an elite force whose members are handpicked by the ruler.;;;;;;;;;;x

#Admin
quan_admin_1;;;;;;;;;;;x
quan_admin_1_desc;;;;;;;;;;;x
quan_admin_2;;;;;;;;;;;x
quan_admin_2_desc;;;;;;;;;;;x
quan_admin_3;;;;;;;;;;;x
quan_admin_3_desc;;;;;;;;;;;x
quan_admin_4;;;;;;;;;;;x
quan_admin_4_desc;;;;;;;;;;;x
quan_admin_5;;;;;;;;;;;x
quan_admin_5_desc;;;;;;;;;;;x

#Council
quan_council_1;;;;;;;;;;;x
quan_council_1_desc;;;;;;;;;;;x
quan_council_2;;;;;;;;;;;x
quan_council_2_desc;;;;;;;;;;;x
quan_council_3;;;;;;;;;;;x
quan_council_3_desc;;;;;;;;;;;x
quan_council_4;;;;;;;;;;;x
quan_council_4_desc;;;;;;;;;;;x
quan_council_5;;;;;;;;;;;x
quan_council_5_desc;;;;;;;;;;;x
quan_council_6;;;;;;;;;;;x
quan_council_6_desc;;;;;;;;;;;x

#Army
quan_army_1;Clan Levies;;;;;;;;;;x
quan_army_1_desc;;;;;;;;;;;x
quan_army_2;Jian Levies;;;;;;;;;;x
quan_army_2_desc;;;;;;;;;;;x
quan_army_3;Mixed;;;;;;;;;;x
quan_army_3_desc;;;;;;;;;;;x
quan_army_4;Officer Core;;;;;;;;;;x
quan_army_4_desc;;;;;;;;;;;x
quan_army_5;Badgermole Brigade;;;;;;;;;;x
quan_army_5_desc;;;;;;;;;;;x


#CA things

has_20_CA;Has §M20 §YClan Authority§!;;;;;;;;;;x
